metro,pop_1317,pop_1822,pop_growth
"Manchester, NH",406371.0,422733.0,0.040263699919531604
"Mankato, MN",99244.0,103402.0,0.041896739349482015
"Mansfield, OH",121533.0,125008.0,0.02859305702977788
"Marietta, OH",60871.0,59639.0,-0.020239522925530995
"Marion, NC",45069.0,44629.0,-0.00976280813863184
"Marion, OH",65483.0,65366.0,-0.0017867232716888282
"Martin, TN",33776.0,32946.0,-0.024573661771672195
"Mayfield, KY",37259.0,36701.0,-0.014976247349633653
"Maysville, KY",17167.0,17068.0,-0.005766878313042456
"McAllen, TX",839539.0,873167.0,0.04005531607227297
"Meadville, PA",86847.0,83876.0,-0.0342095869747947
"Medford, OR",212070.0,222604.0,0.049672278021408056
"Memphis, TN",1344058.0,1335804.0,-0.006141104029736777
"Menomonie, WI",44260.0,45221.0,0.021712607320379496
"Merced, CA",267390.0,282290.0,0.05572384905942629
"Mexico, MO",25763.0,24873.0,-0.03454566626557465
"Miami, FL",6019790.0,6123949.0,0.017302763053196113
"Miami, OK",31725.0,30472.0,-0.039495665878644615
"Michigan City, IN",110839.0,112215.0,0.012414402872635177
"Midland, MI",83489.0,83503.0,0.00016768676113021463
"Midland, TX",165430.0,174621.0,0.055558242156803495
"Milwaukee, WI",1575101.0,1568940.0,-0.003911495199355519
"Mineral Wells, TX",28109.0,28569.0,0.016364865345618762
"Minneapolis, MN",3526149.0,3678328.0,0.04315728008090414
"Moberly, MO",24987.0,24652.0,-0.013406971625245179
"Mobile, AL",414328.0,429312.0,0.03616458458033245
"Modesto, CA",535684.0,552063.0,0.03057586188872552
"Monroe, LA",178970.0,206072.0,0.15143320109515557
"Monroe, MI",149619.0,154823.0,0.03478167879747884
"Morehead City, NC",68699.0,68353.0,-0.005036463412859016
"Morgan City, LA",52578.0,49114.0,-0.0658830689642056
"Morgantown, WV",137475.0,140194.0,0.01977814148026913
"Morristown, TN",116352.0,143196.0,0.230713696369637
"Moscow, ID",38697.0,39872.0,0.030364110912990627
"Moses Lake, WA",93420.0,99145.0,0.06128238064654257
"Mount Airy, NC",72315.0,71429.0,-0.012251953260042914
"Mount Pleasant, MI",70572.0,64938.0,-0.07983336167318478
"Mount Sterling, KY",46120.0,47101.0,0.02127059843885526
"Mount Vernon, OH",60945.0,62657.0,0.028090901632619625
"Mount Vernon, WA",121725.0,129480.0,0.06370918052988284
"Mountain Home, ID",26232.0,28752.0,0.0960658737419946
"Muncie, IN",115938.0,112156.0,-0.03262088357570425
"Muscatine, IA",42923.0,42968.0,0.0010483889756074394
"Muskegon, MI",172707.0,175947.0,0.018760096579756524
"Muskogee, OK",69471.0,66606.0,-0.04124022973614894
"Myrtle Beach, SC",432772.0,496299.0,0.14679091993012494
"Napa, CA",141005.0,137384.0,-0.025679940427644432
"Naples, FL",356774.0,380221.0,0.06571947507385634
"Nashville, TN",1830410.0,1990873.0,0.08766505864806251
"New Bern, NC",125953.0,122678.0,-0.02600176256222564
"New Castle, IN",48649.0,48913.0,0.005426627474357071
"New Castle, PA",88231.0,85907.0,-0.02633994854416244
"New Haven, CT",862127.0,866377.0,0.004929668134741272
"New Orleans, LA",1260660.0,1264357.0,0.002932590865102336
"New Philadelphia, OH",92531.0,92840.0,0.0033394213831039465
"New Ulm, MN",25243.0,25880.0,0.0252347185358317
"New York, NY",20192042.0,19908595.0,-0.014037559945645928
"Newberry, SC",37914.0,37918.0,0.00010550192541014525
"Newport, TN",35262.0,36186.0,0.026203845499404466
"Niles, MI",154948.0,153938.0,-0.006518315822082288
"Nogales, AZ",46358.0,47838.0,0.03192544976055922
"North Port, FL",768381.0,844461.0,0.09901338008097538
"North Vernon, IN",27840.0,27610.0,-0.008261494252873591
"Norwalk, OH",58497.0,58518.0,0.0003589927688598671
"Norwich, CT",270772.0,268448.0,-0.0085828667661354
"Oak Harbor, WA",80323.0,86510.0,0.07702650548410794
"Ocean City, NJ",94549.0,95456.0,0.009592909496663138
