msanecma,population,msaname,WRLURI,FLAT_SHARE_50_15,S_LAND_50,lu11,lu91,lu92,unaval,elasticity
3880.0,385955,"Lafayette, LA (MSA)",-1.0335966,100.0,100.0,0.00431424241565056,0.014573021092217083,0.001203145529379393,0.020090409,4.844548
3920.0,183098,"Lafayette, IN (MSA)",-0.3441132,100.0,99.0,0.020983700784596805,0.10775177888506639,0.124049844505626,0.26025748,2.484033
3960.0,183523,"Lake Charles, LA (MSA)",-1.0483427,100.0,100.0,0.13593220843808504,0.05744801170429841,0.2960225774283285,0.4894028,2.322959
3980.0,485558,"Lakeland-Winter Haven, FL (MSA)",0.2610534,100.0,99.0,0.05152888157136708,0.18904104348841375,0.07433504463221033,0.32175592,1.563471
4000.0,471629,"Lancaster, PA (MSA)",0.28924814,91.0,100.0,0.02328177808289552,0.003085920822594615,0.0026816286083452124,0.119049326,2.2425003
4040.0,448052,"Lansing-East Lansing, MI (MSA)",0.1927484,100.0,100.0,0.008766558045243695,0.05421102716460402,0.005602900095606802,0.068580486,2.5759208
4120.0,1582679,"Las Vegas, NV-AZ (MSA)",-0.6918355,68.0,100.0,0.0005432840358872493,6.474691139325036e-05,5.807037136948593e-05,0.3206661,1.385496
4150.0,100131,"Lawrence, KS (MSA)",-0.5781117,99.0,100.0,0.02949289053725378,0.004411995324025356,0.011588115148174026,0.055493,3.8567474
4243.0,103834,"Lewiston-Auburn, ME (NECMA)",0.9728033,91.0,93.0,0.079017375922035,0.020680288074486044,0.019921669299088424,0.26494598,2.2408197
4280.0,480567,"Lexington, KY (MSA)",0.1869609,95.0,100.0,0.00589908240733007,0.003033359832236812,9.459618918901496e-05,0.05902704,2.6255813
4320.0,155228,"Lima, OH (MSA)",-0.88453645,100.0,100.0,0.011302209453866714,0.003071711532851536,0.0006455564971947251,0.015019477,4.628184
4360.0,251008,"Lincoln, NE (MSA)",0.7611754,100.0,100.0,0.008157055197563209,0.0010750341310576143,0.006641227063229984,0.015873317,2.6234624
4400.0,585228,"Little Rock-North Little Rock, AR (MSA)",-0.84868586,96.0,100.0,0.03472309902536843,0.059908220463916695,0.0024293364226410977,0.13706066,2.7923145
4420.0,208797,"Longview-Marshall, TX (MSA)",-1.2839355,100.0,100.0,0.02540181214693014,0.06757501461925422,0.013516268381595937,0.10649309,4.74681
4480.0,9546597,"Los Angeles-Long Beach, CA (PMSA)",0.49499214,59.0,81.0,0.002831420580398096,0.00022455830877718917,9.623927519022393e-05,0.5246533,0.6265944
4520.0,1027058,"Louisville, KY-IN (MSA)",-0.46531576,91.0,100.0,0.015478024334510971,0.020540010069883218,0.0009197283522172164,0.12693776,2.3400092
4600.0,242882,"Lubbock, TX (MSA)",-0.7404839,100.0,100.0,0.004428924698096384,0.0,0.00014089310071094653,0.004569818,4.326721
4640.0,215175,"Lynchburg, VA (MSA)",-0.8257174,79.0,100.0,0.010466029455815994,0.002311795175241648,0.0004717770126389347,0.2232496,2.8959186
4680.0,323248,"Macon, GA (MSA)",-0.83931273,100.0,100.0,0.011673761368381181,0.06655733027951434,0.0007683812800807435,0.078999475,3.620202
4720.0,427957,"Madison, WI (MSA)",0.40438956,94.0,100.0,0.026058944246293354,0.016042112553830177,0.011317872638521154,0.11341893,2.2471561
4800.0,175677,"Mansfield, OH (MSA)",-0.90952533,97.0,100.0,0.006936001341830492,0.005302921660817492,0.00235438944482837,0.04459331,4.3915715
4880.0,573920,"McAllen-Edinburg-Mission, TX (MSA)",-0.44865185,100.0,100.0,0.00812207417710861,7.240861350725337e-07,0.0011941990582683762,0.009316998,3.6774044
4890.0,181886,"Medford-Ashland, OR (MSA)",0.84818846,31.0,100.0,0.004970848045268655,0.00037676069584529904,0.0021922643861959604,0.69753987,1.38683
4900.0,478012,"Melbourne-Titusville-Palm Bay, FL (MSA)",0.51948243,100.0,60.0,0.05943311167962109,0.17393105226012923,0.17088714516090472,0.64255077,1.0374708
4920.0,1138484,"Memphis, TN-AR-MS (MSA)",1.1808224,100.0,100.0,0.04218389844321379,0.07862332365811783,0.001001184542640752,0.12180841,1.7646465
4940.0,211710,"Merced, CA (MSA)",0.63786805,93.0,100.0,0.007280717052651255,0.002017636571173878,0.022295825174594937,0.10159418,2.3867307
5000.0,2265208,"Miami, FL (PMSA)",0.94485056,100.0,51.0,0.05845486144731196,0.08756450464534732,0.3957652101936211,0.76631016,0.5952661
5080.0,1501615,"Milwaukee-Waukesha, WI (PMSA)",0.4569242,100.0,62.0,0.02450482127061313,0.02920920937439204,0.007297388875738057,0.41782707,1.0286416
